record_kind,completeness,allow_incomplete,issue_codes,run_id,manifest_sha256,selection_id,selection_sha256,verdict_sha256,cell_id,cell_identity_sha256,attempt_id,attempt_record_sha256,configuration_id,workload_id,repetition,value_us,sample_count,measurement_schema,producer_schema,measurement_artifact_sha256,repository_commit,repository_dirty,repository_patch_sha256,source_archive_sha256,environment_sha256,execution_identity_sha256,input_hashes,regeneration_command
campaign,COMPLETE,false,,qualification-exact-20260730-r3,c0bc2e6a9ecb1da691a3caa083bd5842f054c770300a855a9ac69500a2834552,primary,bf23480f39dd49794aa3d81b23a13d5576388563aeef12e8e77681877dd4ce9b,593772c0902024443dd3e457f0e59003eea41a59014821417f629f5a34ff97b8,,,,,,,,,,,,,9b1e58aef91eebc14a65a11cc46e2eb500d814b5,false,,427ba0341b4afbcfa1f7dfcc5e1d97fb3ac27e7c54f6e96869bf88861d9cddb6,,,commcanary-wheel=6511cca9c660992121e799a6aa999927d610b425794e428be9d85b35ef3be1b3;environment-lock=b51cffac1c66eeef636c034a40a80cd9b418969cf8c7b7a26a43f902e48f8d19;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;qualification-canary=e47ea9b9c5a766bf55c340ff247d8bc8702b9ba70e87442b0a1b6fc41a4059ef;qualification-fidelity=ba6d65062631641b2698764b7afb4a4cb1f214bb35b24b4741c64c742493a07f;qualification-materialization-manifest=a35c5e83d2b6d763e4deb2e8d2fdda6ef5a26670ff33dadabeb1b8a307e42d60;qualification-replay-program=2a3e80aed7cdafa78333aa74395fd5e90b37169becde7ea5e53c010cd4ce4005;qualification-request-manifest=0ed4cbf3c1bddc401f2de4206c40fbf49f4362d79c17be0d3efa0b6646cdf7c6;qualification-source-trace=036780e0b287b3b454197b877af66b5f23e6371aced0a809bfcb7e1e1a4d5404;rostam-catalog=f6dda1343d7deac1d07fce7be550387f6008dd162df8698eef98a620fac78de4;source-capture-evidence=f890bac62c3f0f0f4fd018fc4ef12c70ff5b70c849f6f2d40a20810b2c952169;source-capture-stdout=68de71e9843f454dcb0a0b4c98b45029468325f87222fc9a3bebc55f03ef16cb,/home/aagrawal/venvs/commcanary-dev/bin/python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/qualification-exact-20260730-r3 --selection-id primary --verdict-sha256 593772c0902024443dd3e457f0e59003eea41a59014821417f629f5a34ff97b8 --output-directory /home/aagrawal/commcanary-artifacts/exact-work-52bfebe-20260730/publication/qualification-exact-20260730-r3-primary --archive-descriptor /home/aagrawal/commcanary-artifacts/exact-work-52bfebe-20260730/raw/qualification-exact-20260730-r3-archive-descriptor.json --raw-archive /home/aagrawal/commcanary-artifacts/exact-work-52bfebe-20260730/raw/qualification-exact-20260730-r3-primary-593772c0.tar
measurement,COMPLETE,false,,qualification-exact-20260730-r3,c0bc2e6a9ecb1da691a3caa083bd5842f054c770300a855a9ac69500a2834552,primary,bf23480f39dd49794aa3d81b23a13d5576388563aeef12e8e77681877dd4ce9b,593772c0902024443dd3e457f0e59003eea41a59014821417f629f5a34ff97b8,c-qualification-exac-nccl-2.20.5-defaul-r000000-65c2ef2ea97d8adc,65c2ef2ea97d8adc46aa12e5cc1a99bf66cf2310ebc31611e6f5c9e9fc9135a3,a-000001,43c41dac3423bfe5dfb7339842cb8cfd1b858559541565453e6302557ea55c79,nccl-2.20.5-default,qualification-exact,0,1541.001500,20,commcanary.rostam.physical.qualification-measurement.v1,commcanary.rostam.physical.qualification-producer.v1,96215e760dcf0efaf487ae6800292545071793f5ef028670ff180d6d7275a83d,9b1e58aef91eebc14a65a11cc46e2eb500d814b5,false,,427ba0341b4afbcfa1f7dfcc5e1d97fb3ac27e7c54f6e96869bf88861d9cddb6,bd59edf260e34008b166f2aedcb4f4bfdcbc864ef0c95f4f4c971835e90b2d82,b2dff4a7f5af41b613a7bbfdf9e3c0ad54b1688cb538c45a71d9e05d63bdf9fd,commcanary-wheel=6511cca9c660992121e799a6aa999927d610b425794e428be9d85b35ef3be1b3;environment-lock=b51cffac1c66eeef636c034a40a80cd9b418969cf8c7b7a26a43f902e48f8d19;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;qualification-canary=e47ea9b9c5a766bf55c340ff247d8bc8702b9ba70e87442b0a1b6fc41a4059ef;qualification-fidelity=ba6d65062631641b2698764b7afb4a4cb1f214bb35b24b4741c64c742493a07f;qualification-materialization-manifest=a35c5e83d2b6d763e4deb2e8d2fdda6ef5a26670ff33dadabeb1b8a307e42d60;qualification-replay-program=2a3e80aed7cdafa78333aa74395fd5e90b37169becde7ea5e53c010cd4ce4005;qualification-request-manifest=0ed4cbf3c1bddc401f2de4206c40fbf49f4362d79c17be0d3efa0b6646cdf7c6;qualification-source-trace=036780e0b287b3b454197b877af66b5f23e6371aced0a809bfcb7e1e1a4d5404;rostam-catalog=f6dda1343d7deac1d07fce7be550387f6008dd162df8698eef98a620fac78de4;source-capture-evidence=f890bac62c3f0f0f4fd018fc4ef12c70ff5b70c849f6f2d40a20810b2c952169;source-capture-stdout=68de71e9843f454dcb0a0b4c98b45029468325f87222fc9a3bebc55f03ef16cb,/home/aagrawal/venvs/commcanary-dev/bin/python -m experiments.rostam.analyze verify --run-directory experiments/rostam/results/qualification-exact-20260730-r3 --selection-id primary --verdict-sha256 593772c0902024443dd3e457f0e59003eea41a59014821417f629f5a34ff97b8 --output-directory /home/aagrawal/commcanary-artifacts/exact-work-52bfebe-20260730/publication/qualification-exact-20260730-r3-primary --archive-descriptor /home/aagrawal/commcanary-artifacts/exact-work-52bfebe-20260730/raw/qualification-exact-20260730-r3-archive-descriptor.json --raw-archive /home/aagrawal/commcanary-artifacts/exact-work-52bfebe-20260730/raw/qualification-exact-20260730-r3-primary-593772c0.tar
