record_kind,completeness,allow_incomplete,issue_codes,run_id,manifest_sha256,selection_id,selection_sha256,verdict_sha256,cell_id,cell_identity_sha256,attempt_id,attempt_record_sha256,configuration_id,workload_id,repetition,value_us,sample_count,measurement_schema,producer_schema,measurement_artifact_sha256,repository_commit,repository_dirty,repository_patch_sha256,source_archive_sha256,environment_sha256,execution_identity_sha256,input_hashes,regeneration_command
campaign,COMPLETE,false,,decision-gate-20260801-r3,1b1909b3e8561b035c0ee4f9e9c39e497c82d737f8a61e348b1cf6792d06e842,primary,c675e42e34e44794a5dd8f12d3d4f4214e440c8b27643b9b4101edb1625391a0,6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d,,,,,,,,,,,,,4585318ac244f218e438de06c0ccd38c0c88cbbf,false,,79f18929ac34ffe2715cd5e62f4d4462a4938b5987f925abf55cfc53ddc20648,,,commcanary-wheel=6511cca9c660992121e799a6aa999927d610b425794e428be9d85b35ef3be1b3;decision-fidelity-policy=25207a4a9337c50e294cd435f69baf530abfc73bfbb8acb942084da7613d25d1;decision-gate-canary=e47ea9b9c5a766bf55c340ff247d8bc8702b9ba70e87442b0a1b6fc41a4059ef;decision-gate-fidelity=ba6d65062631641b2698764b7afb4a4cb1f214bb35b24b4741c64c742493a07f;decision-gate-materialization-manifest=fe12c758339a99ede11528be4643369504f217f933fca42e0ab56236eb11f55a;decision-gate-qualification-policy=62d6b2c6847e7720e96782a9c7f4f5202fc1d845182e84e198d43288f7e5a7e4;decision-gate-replay-program=2a3e80aed7cdafa78333aa74395fd5e90b37169becde7ea5e53c010cd4ce4005;decision-gate-request-manifest=c3dd538e23b78341572a35d44e7ced8633dc055ff989b620279e81e91405626f;decision-gate-source-trace=036780e0b287b3b454197b877af66b5f23e6371aced0a809bfcb7e1e1a4d5404;decision-gate-wheel=881591e245ce0c434698cd5e8cf2c86f44382bb960162fda137090322d25f6d5;environment-lock=b51cffac1c66eeef636c034a40a80cd9b418969cf8c7b7a26a43f902e48f8d19;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=495818e71c42c103c274cf76fd47342b25c4ac9e5b66e544c66c646eff36e10e,python -m experiments.rostam.analyze verify --run-directory /home/aagrawal/CommCanary/experiments/rostam/results/decision-gate-20260801-r3 --selection-id primary --verdict-sha256 6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d --output-directory /home/aagrawal/CommCanary/experiments/rostam/results/publications/decision-gate-20260801-r3-primary --archive-descriptor /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-archive-descriptor.json --raw-archive /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-primary-6377a65b.tar --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,decision-gate-20260801-r3,1b1909b3e8561b035c0ee4f9e9c39e497c82d737f8a61e348b1cf6792d06e842,primary,c675e42e34e44794a5dd8f12d3d4f4214e440c8b27643b9b4101edb1625391a0,6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d,c-decision-gate-nccl-2.19.3-defaul-r000000-04b66d1ac8fa34af,04b66d1ac8fa34af968c75fbd8234e2492b539fb73029ee4bfd6a52cbc7e1bae,a-000001,6cfdd138f304dec530c327f7d683ae3e05b1bb072264227daabb351d5441c91c,nccl-2.19.3-default,decision-gate,0,1414.144000,20,commcanary.rostam.physical.decision-gate-measurement.v1,commcanary.rostam.physical.decision-gate-producer.v1,7c6d2a4b479691110c894b3bf86586c9bf924a032bf0ba671a6df46693a42d63,4585318ac244f218e438de06c0ccd38c0c88cbbf,false,,79f18929ac34ffe2715cd5e62f4d4462a4938b5987f925abf55cfc53ddc20648,441284e9eabadecceeaf6f54393d668f65bf50c946e8a58a755bf3704a3617c5,db20d1b02d8fefd761892643d42ec7d15c384e14b74072666c597356668985dc,commcanary-wheel=6511cca9c660992121e799a6aa999927d610b425794e428be9d85b35ef3be1b3;decision-fidelity-policy=25207a4a9337c50e294cd435f69baf530abfc73bfbb8acb942084da7613d25d1;decision-gate-canary=e47ea9b9c5a766bf55c340ff247d8bc8702b9ba70e87442b0a1b6fc41a4059ef;decision-gate-fidelity=ba6d65062631641b2698764b7afb4a4cb1f214bb35b24b4741c64c742493a07f;decision-gate-materialization-manifest=fe12c758339a99ede11528be4643369504f217f933fca42e0ab56236eb11f55a;decision-gate-qualification-policy=62d6b2c6847e7720e96782a9c7f4f5202fc1d845182e84e198d43288f7e5a7e4;decision-gate-replay-program=2a3e80aed7cdafa78333aa74395fd5e90b37169becde7ea5e53c010cd4ce4005;decision-gate-request-manifest=c3dd538e23b78341572a35d44e7ced8633dc055ff989b620279e81e91405626f;decision-gate-source-trace=036780e0b287b3b454197b877af66b5f23e6371aced0a809bfcb7e1e1a4d5404;decision-gate-wheel=881591e245ce0c434698cd5e8cf2c86f44382bb960162fda137090322d25f6d5;environment-lock=b51cffac1c66eeef636c034a40a80cd9b418969cf8c7b7a26a43f902e48f8d19;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=495818e71c42c103c274cf76fd47342b25c4ac9e5b66e544c66c646eff36e10e,python -m experiments.rostam.analyze verify --run-directory /home/aagrawal/CommCanary/experiments/rostam/results/decision-gate-20260801-r3 --selection-id primary --verdict-sha256 6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d --output-directory /home/aagrawal/CommCanary/experiments/rostam/results/publications/decision-gate-20260801-r3-primary --archive-descriptor /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-archive-descriptor.json --raw-archive /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-primary-6377a65b.tar --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,decision-gate-20260801-r3,1b1909b3e8561b035c0ee4f9e9c39e497c82d737f8a61e348b1cf6792d06e842,primary,c675e42e34e44794a5dd8f12d3d4f4214e440c8b27643b9b4101edb1625391a0,6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d,c-decision-gate-nccl-2.20.5-defaul-r000000-425550b712a971b2,425550b712a971b2c55860dd3ba1cdf2293784f23d9a2c333244b51213acc833,a-000001,c826d90ce4b9d97d56c705d850f829ee8799403b51f2ba8859a1a206d3163667,nccl-2.20.5-default,decision-gate,0,1436.672000,20,commcanary.rostam.physical.decision-gate-measurement.v1,commcanary.rostam.physical.decision-gate-producer.v1,c4d4ff87a7ee6e6694963e5577e096771a032bfb6a3ba91434bf3980075c11f4,4585318ac244f218e438de06c0ccd38c0c88cbbf,false,,79f18929ac34ffe2715cd5e62f4d4462a4938b5987f925abf55cfc53ddc20648,27502be4e6e429f4be2ec67b7e227daacd0ed3ecfc5a8e8592219f27b8bb81a1,e3066b778a7c433df17f719bd20e304b8330187945956386c04787e31446ef75,commcanary-wheel=6511cca9c660992121e799a6aa999927d610b425794e428be9d85b35ef3be1b3;decision-fidelity-policy=25207a4a9337c50e294cd435f69baf530abfc73bfbb8acb942084da7613d25d1;decision-gate-canary=e47ea9b9c5a766bf55c340ff247d8bc8702b9ba70e87442b0a1b6fc41a4059ef;decision-gate-fidelity=ba6d65062631641b2698764b7afb4a4cb1f214bb35b24b4741c64c742493a07f;decision-gate-materialization-manifest=fe12c758339a99ede11528be4643369504f217f933fca42e0ab56236eb11f55a;decision-gate-qualification-policy=62d6b2c6847e7720e96782a9c7f4f5202fc1d845182e84e198d43288f7e5a7e4;decision-gate-replay-program=2a3e80aed7cdafa78333aa74395fd5e90b37169becde7ea5e53c010cd4ce4005;decision-gate-request-manifest=c3dd538e23b78341572a35d44e7ced8633dc055ff989b620279e81e91405626f;decision-gate-source-trace=036780e0b287b3b454197b877af66b5f23e6371aced0a809bfcb7e1e1a4d5404;decision-gate-wheel=881591e245ce0c434698cd5e8cf2c86f44382bb960162fda137090322d25f6d5;environment-lock=b51cffac1c66eeef636c034a40a80cd9b418969cf8c7b7a26a43f902e48f8d19;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=495818e71c42c103c274cf76fd47342b25c4ac9e5b66e544c66c646eff36e10e,python -m experiments.rostam.analyze verify --run-directory /home/aagrawal/CommCanary/experiments/rostam/results/decision-gate-20260801-r3 --selection-id primary --verdict-sha256 6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d --output-directory /home/aagrawal/CommCanary/experiments/rostam/results/publications/decision-gate-20260801-r3-primary --archive-descriptor /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-archive-descriptor.json --raw-archive /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-primary-6377a65b.tar --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,decision-gate-20260801-r3,1b1909b3e8561b035c0ee4f9e9c39e497c82d737f8a61e348b1cf6792d06e842,primary,c675e42e34e44794a5dd8f12d3d4f4214e440c8b27643b9b4101edb1625391a0,6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d,c-decision-gate-nccl-2.20.5-ring-l-r000000-df1a35c03a7aa345,df1a35c03a7aa345f1e3c356451b52a40f671c88e0d32901582a2535734825b4,a-000001,9afa1c1f2c781b6827b40559037ee03f916a7d518f33c575284a8e600c3fe19b,nccl-2.20.5-ring-ll,decision-gate,0,1341.440000,20,commcanary.rostam.physical.decision-gate-measurement.v1,commcanary.rostam.physical.decision-gate-producer.v1,4a2273d55feb9aa85026f08caa3e124abaf5da9d45c389a41eed3c5be00fdb9b,4585318ac244f218e438de06c0ccd38c0c88cbbf,false,,79f18929ac34ffe2715cd5e62f4d4462a4938b5987f925abf55cfc53ddc20648,b6f9ab673207094232297f5e2e5595fe18727c75ce471094c57bc5c599726e94,2b64cf0e3a89d41e2a3cc91e51927db716d4fad482a472376888462220851851,commcanary-wheel=6511cca9c660992121e799a6aa999927d610b425794e428be9d85b35ef3be1b3;decision-fidelity-policy=25207a4a9337c50e294cd435f69baf530abfc73bfbb8acb942084da7613d25d1;decision-gate-canary=e47ea9b9c5a766bf55c340ff247d8bc8702b9ba70e87442b0a1b6fc41a4059ef;decision-gate-fidelity=ba6d65062631641b2698764b7afb4a4cb1f214bb35b24b4741c64c742493a07f;decision-gate-materialization-manifest=fe12c758339a99ede11528be4643369504f217f933fca42e0ab56236eb11f55a;decision-gate-qualification-policy=62d6b2c6847e7720e96782a9c7f4f5202fc1d845182e84e198d43288f7e5a7e4;decision-gate-replay-program=2a3e80aed7cdafa78333aa74395fd5e90b37169becde7ea5e53c010cd4ce4005;decision-gate-request-manifest=c3dd538e23b78341572a35d44e7ced8633dc055ff989b620279e81e91405626f;decision-gate-source-trace=036780e0b287b3b454197b877af66b5f23e6371aced0a809bfcb7e1e1a4d5404;decision-gate-wheel=881591e245ce0c434698cd5e8cf2c86f44382bb960162fda137090322d25f6d5;environment-lock=b51cffac1c66eeef636c034a40a80cd9b418969cf8c7b7a26a43f902e48f8d19;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=495818e71c42c103c274cf76fd47342b25c4ac9e5b66e544c66c646eff36e10e,python -m experiments.rostam.analyze verify --run-directory /home/aagrawal/CommCanary/experiments/rostam/results/decision-gate-20260801-r3 --selection-id primary --verdict-sha256 6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d --output-directory /home/aagrawal/CommCanary/experiments/rostam/results/publications/decision-gate-20260801-r3-primary --archive-descriptor /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-archive-descriptor.json --raw-archive /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-primary-6377a65b.tar --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,decision-gate-20260801-r3,1b1909b3e8561b035c0ee4f9e9c39e497c82d737f8a61e348b1cf6792d06e842,primary,c675e42e34e44794a5dd8f12d3d4f4214e440c8b27643b9b4101edb1625391a0,6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d,c-decision-gate-nccl-2.20.5-ring-l-r000000-e4f1bba0e8b48bd7,e4f1bba0e8b48bd7176b388a18defe5526e30b2df9844812c878e424c34832a4,a-000001,aa47bf4ab8abc1d2b131e159a8f9e0731547c935c65bb81c6bf827866964b63c,nccl-2.20.5-ring-ll128,decision-gate,0,1380.352000,20,commcanary.rostam.physical.decision-gate-measurement.v1,commcanary.rostam.physical.decision-gate-producer.v1,516fdec9829b6600f71e512f64c00bff17c03b9174d2a1b78c0d7af7c1c39ab2,4585318ac244f218e438de06c0ccd38c0c88cbbf,false,,79f18929ac34ffe2715cd5e62f4d4462a4938b5987f925abf55cfc53ddc20648,dd8d12ad4efd6e25425f5413cb241534ac1c5b2ce73801b0d0ce31b14434996d,2b398b4256d1f9d052d74dc8a3d8d1ef8d6176723594d83d8f748e5b1cf77758,commcanary-wheel=6511cca9c660992121e799a6aa999927d610b425794e428be9d85b35ef3be1b3;decision-fidelity-policy=25207a4a9337c50e294cd435f69baf530abfc73bfbb8acb942084da7613d25d1;decision-gate-canary=e47ea9b9c5a766bf55c340ff247d8bc8702b9ba70e87442b0a1b6fc41a4059ef;decision-gate-fidelity=ba6d65062631641b2698764b7afb4a4cb1f214bb35b24b4741c64c742493a07f;decision-gate-materialization-manifest=fe12c758339a99ede11528be4643369504f217f933fca42e0ab56236eb11f55a;decision-gate-qualification-policy=62d6b2c6847e7720e96782a9c7f4f5202fc1d845182e84e198d43288f7e5a7e4;decision-gate-replay-program=2a3e80aed7cdafa78333aa74395fd5e90b37169becde7ea5e53c010cd4ce4005;decision-gate-request-manifest=c3dd538e23b78341572a35d44e7ced8633dc055ff989b620279e81e91405626f;decision-gate-source-trace=036780e0b287b3b454197b877af66b5f23e6371aced0a809bfcb7e1e1a4d5404;decision-gate-wheel=881591e245ce0c434698cd5e8cf2c86f44382bb960162fda137090322d25f6d5;environment-lock=b51cffac1c66eeef636c034a40a80cd9b418969cf8c7b7a26a43f902e48f8d19;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=495818e71c42c103c274cf76fd47342b25c4ac9e5b66e544c66c646eff36e10e,python -m experiments.rostam.analyze verify --run-directory /home/aagrawal/CommCanary/experiments/rostam/results/decision-gate-20260801-r3 --selection-id primary --verdict-sha256 6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d --output-directory /home/aagrawal/CommCanary/experiments/rostam/results/publications/decision-gate-20260801-r3-primary --archive-descriptor /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-archive-descriptor.json --raw-archive /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-primary-6377a65b.tar --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,decision-gate-20260801-r3,1b1909b3e8561b035c0ee4f9e9c39e497c82d737f8a61e348b1cf6792d06e842,primary,c675e42e34e44794a5dd8f12d3d4f4214e440c8b27643b9b4101edb1625391a0,6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d,c-decision-gate-nccl-2.20.5-ring-s-r000000-98aaed50efe13070,98aaed50efe13070d54ba99291849732e619ae9ce8612242922e248f4e2169a8,a-000001,0bcef8c4e3b6c3e013c00dae021ce4ce9ad48d5574be676fe418f15187c0ba27,nccl-2.20.5-ring-simple,decision-gate,0,1430.528000,20,commcanary.rostam.physical.decision-gate-measurement.v1,commcanary.rostam.physical.decision-gate-producer.v1,ed26973d24fd769751eb311bf04eb07fd6063b7d59fc2ce8d8651cbf10b01d92,4585318ac244f218e438de06c0ccd38c0c88cbbf,false,,79f18929ac34ffe2715cd5e62f4d4462a4938b5987f925abf55cfc53ddc20648,7639ff57558d7b4539167fe54460c26e87d6ce505ff66c0a86599dd5003ed656,ed283ef496dc03716c1184dc3016d9659cc7b3abde056f836bc58892f9293f0f,commcanary-wheel=6511cca9c660992121e799a6aa999927d610b425794e428be9d85b35ef3be1b3;decision-fidelity-policy=25207a4a9337c50e294cd435f69baf530abfc73bfbb8acb942084da7613d25d1;decision-gate-canary=e47ea9b9c5a766bf55c340ff247d8bc8702b9ba70e87442b0a1b6fc41a4059ef;decision-gate-fidelity=ba6d65062631641b2698764b7afb4a4cb1f214bb35b24b4741c64c742493a07f;decision-gate-materialization-manifest=fe12c758339a99ede11528be4643369504f217f933fca42e0ab56236eb11f55a;decision-gate-qualification-policy=62d6b2c6847e7720e96782a9c7f4f5202fc1d845182e84e198d43288f7e5a7e4;decision-gate-replay-program=2a3e80aed7cdafa78333aa74395fd5e90b37169becde7ea5e53c010cd4ce4005;decision-gate-request-manifest=c3dd538e23b78341572a35d44e7ced8633dc055ff989b620279e81e91405626f;decision-gate-source-trace=036780e0b287b3b454197b877af66b5f23e6371aced0a809bfcb7e1e1a4d5404;decision-gate-wheel=881591e245ce0c434698cd5e8cf2c86f44382bb960162fda137090322d25f6d5;environment-lock=b51cffac1c66eeef636c034a40a80cd9b418969cf8c7b7a26a43f902e48f8d19;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=495818e71c42c103c274cf76fd47342b25c4ac9e5b66e544c66c646eff36e10e,python -m experiments.rostam.analyze verify --run-directory /home/aagrawal/CommCanary/experiments/rostam/results/decision-gate-20260801-r3 --selection-id primary --verdict-sha256 6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d --output-directory /home/aagrawal/CommCanary/experiments/rostam/results/publications/decision-gate-20260801-r3-primary --archive-descriptor /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-archive-descriptor.json --raw-archive /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-primary-6377a65b.tar --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,decision-gate-20260801-r3,1b1909b3e8561b035c0ee4f9e9c39e497c82d737f8a61e348b1cf6792d06e842,primary,c675e42e34e44794a5dd8f12d3d4f4214e440c8b27643b9b4101edb1625391a0,6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d,c-decision-gate-nccl-2.20.5-tree-l-r000000-2930799903e9a040,2930799903e9a040a4ec10243f121785780a913f4190a65c09547aaeb124e359,a-000001,1d0e9bd498b03f3e0108288e943934cd64c6c5ea327cd6cd947f013684d0f393,nccl-2.20.5-tree-ll128,decision-gate,0,1462.272000,20,commcanary.rostam.physical.decision-gate-measurement.v1,commcanary.rostam.physical.decision-gate-producer.v1,6e107693d6cb094050398353d4b916dcaf5c9c3d9515a7433fc957eb99180cee,4585318ac244f218e438de06c0ccd38c0c88cbbf,false,,79f18929ac34ffe2715cd5e62f4d4462a4938b5987f925abf55cfc53ddc20648,1f29f2b2f48478068ccc006d10f51b3c8e6c28d8790d262bdea339ca3fce8b3a,8f4464514622a354f3ba94e91b88b17248ee90370a29f9ec176b82d7ff24caf7,commcanary-wheel=6511cca9c660992121e799a6aa999927d610b425794e428be9d85b35ef3be1b3;decision-fidelity-policy=25207a4a9337c50e294cd435f69baf530abfc73bfbb8acb942084da7613d25d1;decision-gate-canary=e47ea9b9c5a766bf55c340ff247d8bc8702b9ba70e87442b0a1b6fc41a4059ef;decision-gate-fidelity=ba6d65062631641b2698764b7afb4a4cb1f214bb35b24b4741c64c742493a07f;decision-gate-materialization-manifest=fe12c758339a99ede11528be4643369504f217f933fca42e0ab56236eb11f55a;decision-gate-qualification-policy=62d6b2c6847e7720e96782a9c7f4f5202fc1d845182e84e198d43288f7e5a7e4;decision-gate-replay-program=2a3e80aed7cdafa78333aa74395fd5e90b37169becde7ea5e53c010cd4ce4005;decision-gate-request-manifest=c3dd538e23b78341572a35d44e7ced8633dc055ff989b620279e81e91405626f;decision-gate-source-trace=036780e0b287b3b454197b877af66b5f23e6371aced0a809bfcb7e1e1a4d5404;decision-gate-wheel=881591e245ce0c434698cd5e8cf2c86f44382bb960162fda137090322d25f6d5;environment-lock=b51cffac1c66eeef636c034a40a80cd9b418969cf8c7b7a26a43f902e48f8d19;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=495818e71c42c103c274cf76fd47342b25c4ac9e5b66e544c66c646eff36e10e,python -m experiments.rostam.analyze verify --run-directory /home/aagrawal/CommCanary/experiments/rostam/results/decision-gate-20260801-r3 --selection-id primary --verdict-sha256 6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d --output-directory /home/aagrawal/CommCanary/experiments/rostam/results/publications/decision-gate-20260801-r3-primary --archive-descriptor /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-archive-descriptor.json --raw-archive /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-primary-6377a65b.tar --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,decision-gate-20260801-r3,1b1909b3e8561b035c0ee4f9e9c39e497c82d737f8a61e348b1cf6792d06e842,primary,c675e42e34e44794a5dd8f12d3d4f4214e440c8b27643b9b4101edb1625391a0,6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d,c-decision-gate-nccl-2.20.5-tree-l-r000000-b28a4f80bc168cca,b28a4f80bc168cca2b42a6c17d8734032e1996c8cd9244f254f61f1f420780eb,a-000001,4b779d4030e00c35903de5ef25cf5f33a6e589c390b96b83e0b80c2758fe21c8,nccl-2.20.5-tree-ll,decision-gate,0,1570.304000,20,commcanary.rostam.physical.decision-gate-measurement.v1,commcanary.rostam.physical.decision-gate-producer.v1,bd69c3bc14b5673eefdda717e17adf3b8c9c6e28c7398aa9b8e43c98c0a598f7,4585318ac244f218e438de06c0ccd38c0c88cbbf,false,,79f18929ac34ffe2715cd5e62f4d4462a4938b5987f925abf55cfc53ddc20648,e133ce1d60d87c7b4c94aa21ddf218ab4dfef86a62cf7e0949288228b8d3d8e4,5f734a97fda18242b3421d3e268e2b2e5964deb7f9b04a2421f3849a48bcea44,commcanary-wheel=6511cca9c660992121e799a6aa999927d610b425794e428be9d85b35ef3be1b3;decision-fidelity-policy=25207a4a9337c50e294cd435f69baf530abfc73bfbb8acb942084da7613d25d1;decision-gate-canary=e47ea9b9c5a766bf55c340ff247d8bc8702b9ba70e87442b0a1b6fc41a4059ef;decision-gate-fidelity=ba6d65062631641b2698764b7afb4a4cb1f214bb35b24b4741c64c742493a07f;decision-gate-materialization-manifest=fe12c758339a99ede11528be4643369504f217f933fca42e0ab56236eb11f55a;decision-gate-qualification-policy=62d6b2c6847e7720e96782a9c7f4f5202fc1d845182e84e198d43288f7e5a7e4;decision-gate-replay-program=2a3e80aed7cdafa78333aa74395fd5e90b37169becde7ea5e53c010cd4ce4005;decision-gate-request-manifest=c3dd538e23b78341572a35d44e7ced8633dc055ff989b620279e81e91405626f;decision-gate-source-trace=036780e0b287b3b454197b877af66b5f23e6371aced0a809bfcb7e1e1a4d5404;decision-gate-wheel=881591e245ce0c434698cd5e8cf2c86f44382bb960162fda137090322d25f6d5;environment-lock=b51cffac1c66eeef636c034a40a80cd9b418969cf8c7b7a26a43f902e48f8d19;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=495818e71c42c103c274cf76fd47342b25c4ac9e5b66e544c66c646eff36e10e,python -m experiments.rostam.analyze verify --run-directory /home/aagrawal/CommCanary/experiments/rostam/results/decision-gate-20260801-r3 --selection-id primary --verdict-sha256 6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d --output-directory /home/aagrawal/CommCanary/experiments/rostam/results/publications/decision-gate-20260801-r3-primary --archive-descriptor /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-archive-descriptor.json --raw-archive /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-primary-6377a65b.tar --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
measurement,COMPLETE,false,,decision-gate-20260801-r3,1b1909b3e8561b035c0ee4f9e9c39e497c82d737f8a61e348b1cf6792d06e842,primary,c675e42e34e44794a5dd8f12d3d4f4214e440c8b27643b9b4101edb1625391a0,6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d,c-decision-gate-nccl-2.20.5-tree-s-r000000-ff520eefdb46b5c0,ff520eefdb46b5c067d664f5ca259a09268950fcc7d80b60409e02b415986d93,a-000001,80f675c32836e7abb0a3d76f91c21a70532a851e6e4f30bd39b143bca2735083,nccl-2.20.5-tree-simple,decision-gate,0,1618.432000,20,commcanary.rostam.physical.decision-gate-measurement.v1,commcanary.rostam.physical.decision-gate-producer.v1,77d856985751709638ee461b35fc712668f4ee86bead262618892b0ccad23549,4585318ac244f218e438de06c0ccd38c0c88cbbf,false,,79f18929ac34ffe2715cd5e62f4d4462a4938b5987f925abf55cfc53ddc20648,8d7dc98ba640648d450a8f74b7bbe61e9754c8ff1984b94583151b2fc38f7023,61d662880f91f61c57f6472fe4e361ed533e2c6853e450b1d50ab8c1c7df9f6c,commcanary-wheel=6511cca9c660992121e799a6aa999927d610b425794e428be9d85b35ef3be1b3;decision-fidelity-policy=25207a4a9337c50e294cd435f69baf530abfc73bfbb8acb942084da7613d25d1;decision-gate-canary=e47ea9b9c5a766bf55c340ff247d8bc8702b9ba70e87442b0a1b6fc41a4059ef;decision-gate-fidelity=ba6d65062631641b2698764b7afb4a4cb1f214bb35b24b4741c64c742493a07f;decision-gate-materialization-manifest=fe12c758339a99ede11528be4643369504f217f933fca42e0ab56236eb11f55a;decision-gate-qualification-policy=62d6b2c6847e7720e96782a9c7f4f5202fc1d845182e84e198d43288f7e5a7e4;decision-gate-replay-program=2a3e80aed7cdafa78333aa74395fd5e90b37169becde7ea5e53c010cd4ce4005;decision-gate-request-manifest=c3dd538e23b78341572a35d44e7ced8633dc055ff989b620279e81e91405626f;decision-gate-source-trace=036780e0b287b3b454197b877af66b5f23e6371aced0a809bfcb7e1e1a4d5404;decision-gate-wheel=881591e245ce0c434698cd5e8cf2c86f44382bb960162fda137090322d25f6d5;environment-lock=b51cffac1c66eeef636c034a40a80cd9b418969cf8c7b7a26a43f902e48f8d19;param-patch-contract=182942ecf6ed3c0ea267b1660a19be8601c16768640dd6ef3f112601a0b26f34;rostam-catalog=495818e71c42c103c274cf76fd47342b25c4ac9e5b66e544c66c646eff36e10e,python -m experiments.rostam.analyze verify --run-directory /home/aagrawal/CommCanary/experiments/rostam/results/decision-gate-20260801-r3 --selection-id primary --verdict-sha256 6377a65bb05761427ae0f384f0ad07a14430285fc50e344155c44e4e3f11ce8d --output-directory /home/aagrawal/CommCanary/experiments/rostam/results/publications/decision-gate-20260801-r3-primary --archive-descriptor /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-archive-descriptor.json --raw-archive /home/aagrawal/commcanary-transfer/decision-gate-20260801/decision-gate-20260801-r3-primary-6377a65b.tar --median-threshold-pct 8.0 --median-absolute-threshold-us 1.0
